Element, Structure,	Density(g/cm^3),	Atomic Wt.(g/mol),	Radius(pm),	Melting Pt.(K),	Electronegativity(P),	VEC,	Electronegativity(A),	Phi(V),	nWS^1/3,	Vm^2/3(cm^2),	R/P(v^2),	Type,	Constant(a)
Al,	 FCC,		2.7,			26.98154,		143.17,		933.25,		1.61,			3,	1.613,			4.20,	1.39,		4.6,		1.9,		NT,	0.07
Mg,	 HCP,		1.738,			24.305,			160.13,		922,		1.31,			2,	1.293,			3.45,	1.17,		5.8,		0.4,		NT,	0.10
Zn,	 HCP,		7.13,			65.38,			139.45,		692.73,		1.65,			12,	1.588,			4.10,	1.32,		4.4,		1.4,		NT,	0.04
Li,	 BCC,		0.53,			6.941,			151.94,		453.7,		0.98,			1,	0.912,			2.85,	0.98,		5.5,		0.0,		NT,	0.14
Cu,	 FCC,		8.96,			63.546,			127.80,		1357.6,		1.90,			11,	1.85,			4.55,	1.47,		3.7,		0.3,		T,	0.07
Si,	 Diamond,	2.329,			28.0855,		115.30,		1683,		1.90,			4,	1.916,			4.70,	1.50,		4.2,		2.1,		NT,	0.04
Ti,	 HCP,		4.506,			47.90,			146.15,		1933,		1.54,			4,	1.38,			3.65,	1.47,		4.8,		1.0,		T,	0.04
Co,	 HCP,		8.9,			58.9332,		125.10,		1768,		1.88,			9,	1.84,			5.10,	1.75,		3.5,		1.0,		T,	0.04
Cr,	 BCC,		7.15,			51.996,			124.91,		2130,		1.66,			6,	1.65,			4.65,	1.73,		3.7,		1.0,		T,	0.04
Ni,	 FCC,		8.908,			58.70,			124.59,		1726,		1.91,			10,	1.88,			5.20,	1.75,		3.5,		1.0,		T,	0.04
Sr,	 FCC,		2.64,			87.62,			215.20,		1042,		0.95,			2,	0.963,			2.40,	0.84,		10.2,		0.4,		T,	0.10
Sn,	 TET,		7.265,			118.69,			162,		505.06,		1.96,			4,	1.824,			4.15,	1.24,		6.4,		2.1,		NT,	0.04
Fe,	 BCC,		7.874,			55.847,			124.12,		1808,		1.83,			8,	1.80,			4.93,	1.77,		3.7,		1.0,		T,	0.04
Ag,	 FCC,		10.49,			107.868,		144.47,		1234,		1.93,			11,	1.87,			4.45,	1.39,		4.8,		0.15,		T,	0.07
Nb,	 BCC,		8.57,			92.9064,		142.90,		2741,		1.60,			5,	1.41,			4.00,	1.62,		4.9,		1.0,		T,	0.04
La,	 HCP,		6.162,			138.9055,		187.90,		1193,		1.10,			3,	1.10,			3.05,	1.09,		8.0,		0.7,		T,	0.04
Pt,	 FCC,		21.45,			195.09,			138.70,		2045,		2.28,			10,	1.72,			5.65,	1.78,		4.4,		1.0,		T,	0.04
Pb,	 FCC,		11.34,			207.2,			174.97,		600.6,		2.33,			4,	1.854,			4.10,	1.15,		6.9,		2.1,		NT,	0.04
Mo,	 BCC,		10.28,			95.94,			136.26,		2890,		2.16,			6,	1.47,			4.65,	1.77,		4.4,		1.0,		T,	0.04
Bi,	 RHO,		9.78,			208.9804,		143,		544.52,		2.02,			5,	2.01,			4.15,	1.16,		7.2,		2.3,		NT,	0.04
Ca,	 FCC,		1.55,			40.08,			197.60,		1112,		1.00,			2,	1.034,			2.55,	0.91,		8.8,		0.4,		T,	0.10
Ga,	 ORTHO,		5.91,			69.72,			139.20,		302.9,		1.81,			3,	1.756,			4.10,	1.31,		5.2,		1.9,		NT,	0.07
Zr,	 HCP,		6.52,			91.22,			160.25,		2125,		1.33,			4,	1.32,			3.40,	1.39,		5.8,		1.0,		T,	0.04
Pd,	 FCC,		12.023,			106.4,			137.54,		1825,		2.20,			10,	1.58,			5.60,	1.65,		4.3,		1.0,		T,	0.04
Y,	 HCP,		4.472,			88.9059,		180.15,		1799,		1.22,			3,	1.12,			3.20,	1.21,		7.3,		0.7,		T,	0.04
W,	 BCC,		19.25,			183.85,			136.70,		3680,		2.36,			6,	1.47,			4.80,	1.81,		4.5,		1.0,		T,	0.04
Ta,	 BCC,		16.69,			180.9479,		143,		3269,		1.50,			5,	1.34,			4.05,	1.63,		4.9,		1.0,		T,	0.04
Ru,	 HCP,		12.45,			101.07,			133.84,		2523,		2.20,			8,	1.54,			5.55,	1.87,		4.1,		1.0,		T,	0.04	Au,	 FCC,		10.49,			196.9665,		144.20,		1337.58,	2.54,			11,	1.92,			5.15,	1.57,		4.8,		0.3,		T,	0.07
Cs,	 BCC,		1.93,			132.9054,		265,		301.55,		0.79,			1,	0.659,			1.95,	0.55,		16.8,		0.0,		NT,	0.14				
Sc,	 HCP,		2.99,			44.9559,		164.10,		1812,		1.36,			3,	1.19,			3.25,	1.27,		6.1,		0.7,		T,	0.04			
K,	 BCC,		0.89,			39.0983,		231,		336.35,		0.82,			1,	0.734,			2.25,	0.65,		12.8,		0.0,		NT,	0.14
Na,	 BCC,		0.968,			22.98977,		185.70,		371,		0.93,			1,	0.869,			2.70,	0.82,		8.3,		0.0,		NT,	0.14
V,	 BCC,		6.11,			50.9415,		131.60,		2175,		1.63,			5,	1.53,			4.25,	1.64,		4.12,		1.0,		T,      0.04
Mn,	 BCC,           7.26,			54.9380,                135,		1246,	        1.55,                   7,      1.75,			4.45,	1.61,		3.8,		1.0,		T,	0.04	